Name,Work Stream,Assigned to,Epic,Kanban,Notes
Customer Feasibility ,Products ,,MDR,Done ,
Team planning ,Products ,,MDR,Done ,
BDG alignment ,Products ,,Digital Channels ,In Progress,
Commercials ,Products ,,Digital Channels ,In Progress,
Feasibility ,Products ,,NaPSAC,In Progress,
Prposal ,Products ,,Digital Channels ,Done ,
Meet GDS Team,Framework,,,In Progress,"Meeting scheduled for 24th Apr
ACs:
Create deck 
Meet GDS team and present our story at MHRA
Come back share w internal team"
,,,,,
External frameworks analysis (GDS & NHSX),Framework,Rafa Prada,Review as is ,To do ,"Identify and understand from both frameworks:
- Governance
- Stage gates
- Funding model
- Data

GDS: https://www.gov.uk/service-manual
NHSX: https://service-manual.nhs.uk/service-standard"
Transformation Academy Alignment,Framework,,Empower and Embed ,,
Update existing journey with recent feedback,Framework,,,Sprint Planning,
Stakeholder Mapping,Framework,,Misc,To do ,
Establish ,Framework,,,,
Customer value proposition,Framework,,Review as is ,To do ,Apply value proposition model
Empathy Mapping,Framework,,Review as is ,Sprint Planning,Collate findings from research into empathy map
Vision Workshop (with working group),Framework,,Misc,To do ,
Implement cross functional teams,Framework,,Experiments,To do ,"Introduce Product Delivery with cross functional, multi disciplinary teams
"
Delivery toolbox,Framework,,Experiments,,"Create a delivery toolbox that defines best practice for different project types and delivery methods 
"
Transformation academy,Framework,,Experiments,,"Train TD staff in new roles, use partner agencies to provide mentorship "
Introduce Service Design,Framework,,Experiments,,"Introduce Service Design to make TD and the Agency less inwardly focussed 
"
Redefine stage gating,Framework,,Experiments,,"Re-define stage gating, for more collaborative approach
"
Plan the portfolio,Framework,,Experiments,,
Redesign the solution design board,Framework,,Experiments,,"Redesign the Solution Design Board with clear criteria for design and clear decision makers
"
Partly devolve Service transition teams,Framework,,Experiments,,"Partly devolve Service Transition, moving team members to key roles in cross functional teams
"
Dissolve service design checklist,Framework,,Experiments,,"Dissolve Service Design Checklist, agree support models up front, add Service Manager
"
Amend supplier contracts and maintain governance,Framework,,Experiments,,"Amend supplier contracts and maintain governance of these
"
Strategy workshop (with working group),Framework,,Misc,To do ,Alignment and strategy blueprint 
Collate findings from research,Framework,,,To do ,Collate interview findings and share w team
Data at NHS-X,Framework,,Data Framework,To do ,
TA open source- Noosphere,Framework,,Transformation Academy,In Progress,"a presentation tool/ slides archive  for TA academy
At the moment is in Red Badger repo, once TD is happy with this approach I will move it to MHRA GitHub org"
Understand MHRA approach to apprentices,Framework,,,To do ,"What is the plan for training apprentices
Are there any objectives/long term goals
What is the expectation from Red Badger"
Lunch & Learn on Instructional Design,Framework,,Transformation Academy,To do ,
Git Hub Lunch & Learn,Framework,,,To do ,
